timestamp,test_id,pid_p,pid_i,pid_d,target_left,target_right,actual_speed_left,actual_speed_right,pos_left,pos_right,error_left,error_right
1.862177,14,2.000000,0.030000,0.100000,300,300,287.030000,287.030000,9167.000000,9132.000000,12.970000,12.970000
0.000002,15,2.000000,0.030000,0.100000,500,500,95.680000,95.680000,10348.000000,10323.000000,404.320000,404.320000
0.265783,15,2.000000,0.030000,0.100000,500,500,358.780000,370.740000,11156.000000,11111.000000,141.220000,129.260000
0.532589,15,2.000000,0.030000,0.100000,500,500,394.660000,394.660000,12051.000000,11995.000000,105.340000,105.340000
0.798426,15,2.000000,0.030000,0.100000,500,500,430.540000,406.620000,12966.000000,12902.000000,69.460000,93.380000
1.063582,15,2.000000,0.030000,0.100000,500,500,442.500000,430.540000,13956.000000,13886.000000,57.500000,69.460000
1.331169,15,2.000000,0.030000,0.100000,500,500,454.460000,466.420000,14978.000000,14905.000000,45.540000,33.580000
1.597851,15,2.000000,0.030000,0.100000,500,500,478.380000,454.460000,15986.000000,15912.000000,21.620000,45.540000
1.866876,15,2.000000,0.030000,0.100000,500,500,466.420000,466.420000,17052.000000,16975.000000,33.580000,33.580000
0.000001,16,0.800000,0.050000,0.200000,100,100,0.000000,-0.000000,7.000000,-0.000000,100.000000,100.000000
0.267029,16,0.800000,0.050000,0.200000,100,100,47.840000,35.880000,113.000000,79.000000,52.160000,64.120000
0.534137,16,0.800000,0.050000,0.200000,100,100,71.760000,71.760000,297.000000,262.000000,28.240000,28.240000
0.802513,16,0.800000,0.050000,0.200000,100,100,107.640000,107.640000,528.000000,501.000000,-7.640000,-7.640000
1.067762,16,0.800000,0.050000,0.200000,100,100,107.640000,119.590000,773.000000,759.000000,-7.640000,-19.590000
1.332603,16,0.800000,0.050000,0.200000,100,100,107.640000,131.550000,1010.000000,1010.000000,-7.640000,-31.550000
1.599394,16,0.800000,0.050000,0.200000,100,100,119.590000,131.550000,1253.000000,1267.000000,-19.590000,-31.550000
1.866810,16,0.800000,0.050000,0.200000,100,100,95.680000,107.640000,1492.000000,1515.000000,4.320000,-7.640000
